Date,TA,PAR,VPD,LAI,WT,DoP,Season,Harvest,GPP,NEE,Reco,CH4
2015-04-12,20.34375,52161518.34002872,12.311668020833332,0.275,0,2015-04-07,2,0.0,-0.9177058766511684,1.7852884178096524,2.7029942944608205,0.0058795104489677
2015-04-13,20.2125,52462384.40768085,2.819785625,0.25,0,2015-04-07,2,0.0,-1.0190974526416288,2.236470825957267,3.255568278598896,0.025473147994422
2015-04-14,16.154687499999998,51878755.12950034,3.3581824166666667,0.225,0,2015-04-07,2,0.0,-1.0138341718858197,1.9029226047367287,2.916756776622549,0.0158716579519856
2015-04-15,18.026395833333336,46434385.80906709,2.926901104166667,0.2,0,2015-04-07,2,0.0,-0.9186881964496922,2.210808881024316,3.1294970774740096,0.0206194102046289
2015-04-16,19.344791666666666,46476702.04912196,5.321761604166666,0.275,0,2015-04-07,2,0.0,-0.8671417459350659,2.3459852166017603,3.2131269625368266,0.0201167899353406
2015-04-17,20.675,50460592.13491453,3.6887156875,0.35,0,2015-04-07,2,0.0,-0.8826801377596389,2.538602905125689,3.4212830428853303,0.0213626783081516
2015-04-18,19.429166666666667,52638472.91897577,2.5061613125,0.425,0,2015-04-07,2,0.0,-0.9374226416516488,2.379024722482381,3.31644736413403,0.0224395191570626
2015-04-19,19.7046875,51656508.324884266,6.539199708333334,0.5,0,2015-04-07,2,0.0,-0.8580716351562525,2.5187236397892385,3.376795274945491,0.0408023408918989
2015-04-20,15.55,48524018.94058684,7.631972083333333,0.4,0,2015-04-07,2,0.0,-1.0720338280644328,2.1435033943019475,3.215537222366381,0.0182789597347604
2015-04-21,15.206958333333333,49128499.48794155,8.479060229166667,0.3,0,2015-04-07,2,0.0,-1.1977865129037064,2.20268224575724,3.4004687586609443,0.0160697333171949
2015-04-22,14.979083333333334,48759301.66903299,4.562717145833333,0.1999999999999999,0,2015-04-07,2,0.0,-1.21435605475617,2.087116080111479,3.301472134867649,0.0160193152384147
2015-04-23,14.037020833333337,56883796.85988183,4.221757395833333,0.1,0,2015-04-07,2,0.0,-1.3518206826137749,1.847746786930185,3.19956746954396,0.0105742460380956
2015-04-24,14.0693125,58447855.59136316,2.1645555208333334,0.15,0,2015-04-07,2,0.0,-1.6440490701137684,1.8408113956027643,3.484860465716533,0.0118398301706068
2015-04-25,20.697854166666666,58314340.56292425,7.860646854166667,0.2,0,2015-04-07,2,0.0,-1.3097675456313482,2.2714143622539327,3.58118190788528,0.0414995218446204
2015-04-26,17.017708333333335,57624899.51771835,3.982539708333333,0.25,0,2015-04-07,2,0.0,-1.274748314001816,1.7634362447497418,3.0381845587515586,0.0209377085199462
2015-04-27,15.5925,54024663.49525363,4.522347520833333,0.3,0,2015-04-07,2,0.0,-1.260832535135759,1.6095783254485378,2.8704108605842977,0.0097226609777445
2015-04-28,16.091791666666666,55228757.21307705,7.996069479166667,0.3,0,2015-04-07,2,0.0,-1.2405120595900363,1.773281187271942,3.0137932468619786,0.009921635969944
2015-04-29,16.639375,55226599.05349248,8.038372770833332,0.3,0,2015-04-07,2,0.0,-1.2987321587061154,1.9401385532488955,3.238870711955012,0.0137941151485508
2015-04-30,19.16645833333333,58219716.43883646,11.295624770833331,0.3,0,2015-04-07,2,0.0,-1.3772649465933615,2.197106781386722,3.574371727980085,0.0185862805454644
2015-05-01,16.697916666666668,60773743.71482445,9.944573583333334,0.3,0,2015-04-07,2,0.0,-1.5711331650157487,1.7099231616457309,3.2810563266614787,0.0103370860295872
